content_type,text
no-understand,Sure; let's pretend that that made sense
no-understand,Can you speak clearly for once?
no-understand,Oh; so you asked that in english? I must be crazy.
no-understand,Cool; but my brain checked out after the first syllable; repeat.
no-understand,Wow; that was a lot of effort for something I still don't get.
no-understand,Cool; but my brain just blue-screened. try rebooting your point.
no,understand,At this point you're just hard to understand.
no-understand,Sorry I don't understand dumb. Do you have a dictionary for it?
no-understand,That literally made zero sense to me.
no-understand,Why do I even botter trying to understand you.
