content_type,text
animal_fact,Octopuses have three hearts and blue blood.
animal_fact,A group of flamingos is called a "flamboyance."
animal_fact,Elephants can "hear" through their feet by detecting ground vibrations.
animal_fact,Cows have best friends and get stressed when they are separated.
animal_fact,The heart of a shrimp is located in its head.
animal_fact,Sloths can hold their breath for up to 40 minutes.
animal_fact,Starfish can regenerate lost arms and sometimes even grow a whole new body.
animal_fact,Giraffes only need 5 to 30 minutes of sleep per day.
animal_fact,Penguins propose to their mates with pebbles.
animal_fact,Some fish can recognize themselves in a mirror.
space_fact,A day on Venus is longer than a year on Venus.
space_fact,Neutron stars are so dense that a sugar-cube-sized amount of their material would weigh as much as Mount Everest.
space_fact,The Sun is about 4.6 billion years old and halfway through its lifespan.
space_fact,There are more stars in the universe than grains of sand on Earth.
space_fact,Saturn could float in water because it’s mostly made of gas.
space_fact,The Moon is slowly drifting away from Earth by about 1.5 inches per year.
space_fact,Jupiter has 95 known moons (as of 2023).
space_fact,Mars appears red because of iron oxide (rust) on its surface.
space_fact,A single teaspoon of a black hole's material would weigh billions of tons.
space_fact,The largest volcano in the solar system is on Mars. It’s called Olympus Mons.
history_fact,Cleopatra lived closer in time to the moon landing than to the construction of the Great Pyramid.
history_fact,The Eiffel Tower can grow up to 6 inches taller in summer due to heat expansion.
history_fact,The shortest war in history lasted only 38 to 45 minutes (Anglo-Zanzibar War).
history_fact,Napoleon Bonaparte was once attacked by a horde of bunnies.
history_fact,The Great Fire of London in 1666 destroyed 80% of the city but only six people were recorded as dying.
history_fact,Abraham Lincoln is in the Wrestling Hall of Fame for winning almost 300 matches.
history_fact,Ancient Egyptians used honey as an antibiotic and a wound dressing.
history_fact,Vikings used the bones of slain animals to strengthen their weapons.
history_fact,Leonardo da Vinci was ambidextrous and could draw with one hand while writing with the other.
history_fact,The ancient Romans used powdered mouse brains as toothpaste.
science_fact,Bananas are berries; but strawberries are not.
science_fact,Water can boil and freeze at the same time (called the triple point).
science_fact,Lightning strikes Earth about 8 million times per day.
science_fact,Humans share about 60% of their DNA with bananas.
science_fact,Hot water can freeze faster than cold water under certain conditions (the Mpemba effect).
science_fact,The human stomach gets a new lining every 3-4 days to prevent it from digesting itself.
science_fact,Glass is actually a very slow-moving liquid; not a true solid.
science_fact,The strongest material in the human body is tooth enamel.
science_fact,If you stretched out all the DNA in your body; it would reach the sun and back about 600 times.
science_fact,The average human body has enough fat to make seven bars of soap.
geography_fact,Canada has more lakes than the rest of the world combined.
geography_fact,Mount Everest is still growing by about 4 millimeters each year.
geography_fact,Antarctica is the largest desert in the world.
geography_fact,There’s a town in Norway called Hell; and it freezes over every winter.
geography_fact,The Amazon rainforest produces 20% of the world’s oxygen.
geography_fact,Russia spans 11 time zones.
geography_fact,Iceland doesn’t have any mosquitoes.
geography_fact,The Sahara Desert can reach temperatures of up to 58 degrees celcius.
geography_fact,The Dead Sea is so salty that people can easily float on its surface.
geography_fact,The Great Wall of China is not visible from space with the naked eye.
tech_fact,The first computer virus was created in 1986 and was called "Brain."
tech_fact,The first email was sent in 1971.
tech_fact,Apple’s first logo featured Sir Isaac Newton sitting under a tree.
tech_fact,The first 1 gigabyte hard drive; introduced in 1980; weighed over 500 pounds.
tech_fact,Bluetooth technology is named after a 10th-century Danish king; Harald "Bluetooth" Gormsson.
tech_fact,The "@" symbol was first used in email addresses in 1977.
tech_fact,The first website ever created is still online (info.cern.ch).
tech_fact,Amazon originally only sold books when it launched in 1995.
tech_fact,Nokia started as a paper mill company in 1865.
tech_fact,The world's first text message said "Merry Christmas."
pop_fact,Walt Disney was afraid of mice.
pop_fact,The voice of Mickey Mouse and the voice of Minnie Mouse were married in real life.
pop_fact,Barbie's full name is Barbara Millicent Roberts.
pop_fact,The first feature-length animated movie was "Snow White and the Seven Dwarfs."
pop_fact,The "Happy Birthday" song is still under copyright in some places.
pop_fact,The first YouTube video was titled "Me at the zoo."
pop_fact,The Wizard of Oz’s ruby slippers were originally silver in the book.
pop_fact,Elvis Presley only won three Grammys in his entire career.
pop_fact,The longest-running TV show in history is "The Simpsons."
pop_fact,Superman first appeared in 1938 in Action Comics 1.
sport_fact,The Olympic Games were originally held in ancient Greece in 776 BC.
sport_fact,A baseball has exactly 108 stitches.
sport_fact,The first Super Bowl was held in 1967.
sport_fact,Golf is the only sport played on the Moon (by astronaut Alan Shepard).
